Latitude,Longitude,Station Name,Train Lines
40.68672833,-73.990272,Smith St & Bergen St At Ne Corner (To Manhattan And Queens Only),F-G
40.69372533,-73.990678,Court St & Montague St At Sw Corner,2-3-4-5-N-R
40.69364233,-73.990592,Court St & Montague St At Sw Corner,2-3-4-5-N-R
40.69439312,-73.99253736,Clinton St & Montague St At Nw Corner,2-3-4-5-N-R
40.66272736,-73.96224892,Flatbush Ave & Empire Blvd At Sw Corner,B-Q-S
40.67716435,-73.98339417,4th Ave & Union St At Sw Corner (To Bay Ridge And Coney Island Only),D-N-R
40.67705164,-73.98308231,4th Ave & Union St At Se Corner (To Manhattan Only),D-N-R
40.67719509,-73.98299,4th Ave & Union St At Se Corner (To Manhattan Only),D-N-R
40.68069933,-73.975209,Flatbush Ave & Bergen St At Sw Corner (To New Lots And Flatbush Only),2-3-4
40.69204411,-73.98621464,Lawrence St & Willoughby St At Ne Corner,N-R
40.69225842,-73.98611377,Lawrence St & Willoughby St At Se Corner,N-R
40.69044933,-73.985271,Hoyt St & Fulton St At Sw Corner (To New Lots And Flatbush Only),2-3
40.69089533,-73.985255,Bridge St & Fulton St At Ne Corner (To Manhattan Only),2-3
40.69044233,-73.984551,Duffield St & Fulton St At Nw Corner (To Manhattan Only),2-3
40.69040733,-73.984347,Duffield St & Fulton St At Ne Corner (To Manhattan Only),2-3
40.6920956,-73.98536144,Bridge St & Willoughby St At Sw Corner,N-R
40.69223494,-73.98519674,Bridge St & Willoughby St At Ne Corner,N-R
40.6915088,-73.98215995,Flatbush Ave & Fleet St At Ne Corner,B-D-N-Q-R
40.68392533,-73.978871,4th Ave & Pacific St At Nw Corner,2-3-4-5-B-D-N-Q-R
40.68515511,-73.97774737,Ashland Pl & Hanson Pl At Ne Corner,2-3-4-5-B-D-N-Q-R
40.6923566,-73.98619068,Lawrence St & Willoughby St At Ne Corner,N-R
40.68111653,-73.99439275,Smith St & President St At Nw Corner,F-G
40.67187792,-73.96437533,Washington Ave & Eastern Pkwy At Sw Corner,2-3-4
40.67213641,-73.96415218,Washington Ave & Eastern Pkwy At Nw Corner,2-3-4
40.67034265,-73.9578869,Franklin Ave & Eastern Pkwy At Se Corner,2-3-4-5-S
40.67074103,-73.9576456,Franklin Ave & Eastern Pkwy At Ne Corner,2-3-4-5-S
40.68103492,-73.95569778,Franklin Ave & Fulton St At Sw Corner,A-C-S
40.67092663,-73.95772032,Franklin Ave & Eastern Pkwy At Ne Corner,2-3-4-5-S
40.70132133,-73.986653,Jay St & York St At Sw Corner,F
40.71875307,-73.98827786,Essex St & Delancey St At Nw Corner,F-J-M-Z
40.68986469,-73.9813607,Flatbush Ave & De Kalb Ave At Se Corner,B-D-N-Q-R
40.58772911,-73.81401045,Beach 90th St & Rockaway Frwy At Se Corner,A-S
40.6991615,-73.98891298,Red Cross Pl & Adams St At Sw Corner,A-C
40.69925855,-73.9882707,Sands St & Adams St At Se Corner,A-C
40.69260441,-73.99060229,Court St & Joralemon St At Ne Corner,2-3-4-5-N-R
40.70534033,-73.811829,144-01 Hillside Avenue,F
40.63504233,-73.962783,1515 Foster Avenue (Enter From Newkirk Ave Pz),B-Q
40.75221933,-73.927641,37-01 36 Street (To Manhattan And Brooklyn Only),E-M-R
40.63637533,-73.994612,4902 12 Avenue,D
40.71261233,-74.008224,1 Barclay Street (Enter On Park Place),2-3-A-C-E
40.68367744,-73.96711602,486 Clinton Avenue (To Manhattan Only),A-C
40.6245642,-73.9757772,1175 Mc Donald Avenue,F
40.70097088,-73.81629903,135-02 89 Avenue,E
40.74655506,-73.89071415,40-02 75 Street,7-E-F-M-R
40.69367233,-73.929667,1122 Broadway,J
40.76029733,-73.983567,729 7 Avenue (Uptown Only),N-Q-R
40.75028333,-73.99065,421 7 Avenue,1-2-3
40.74965633,-73.99113,401 7 Avenue,1-2-3
40.70547144,-73.95054471,502 Broadway,G
40.71069233,-74.008428,2 Ann Street,2-3-4-5-A-C-J-Z
40.75031333,-73.990854,421 7 Avenue,1-2-3
40.69343233,-73.85244,92-20 Jamaica Avenue,J-Z
40.80776734,-73.919314,235 Brook Avenue (To Manhattan Only),6
40.62614515,-73.97603747,101 Avenue I,F
40.64271533,-73.97924,102 Beverly Road,F
40.76042233,-73.976146,656 5 Avenue,E-M
40.6797779,-73.94135896,1490 Fulton Street (To Queens Only),A-C
40.74703633,-73.993138,311 7 Avenue (Uptown Only),1-2
40.51783269,-74.2390068,Nassau Pl & Averill Pl At Sw Corner,SIExpress
40.64472488,-74.07671915,75 Richmond Terrace,SIExpress
40.70858933,-73.95801,295 Broadway (To Manhattan Only),J-M-Z
40.72558334,-74.003747,166 6 Avenue,A-C-E
40.70283633,-73.907481,701 Seneca Avenue,M
40.74781733,-73.883829,82-01 Roosevelt Avenue,7
40.70679995,-74.00887882,47 Pine Street,2-3
40.81655333,-73.896234,1025 Longwood Avenue (To Manhattan Only),6
40.69002503,-73.9516544,573 Lafayette Avenue,G
40.78089533,-73.972918,180 Central Park West,A-C-B
40.86575833,-73.927266,4761 Broadway,A
40.75169833,-73.856017,39-16 111 Street,7
40.71947133,-74.001617,418 Broadway,4-6-6Express-J-Z-N-Q-R
40.6608587,-73.96204896,462 Flatbush Avenue (Enter From Lincoln Rd),B-Q-S
40.76645233,-73.982815,956 8 Avenue,1-2-A-C-B-D
40.68318133,-73.911274,1720 Broadway,J-Z
40.68338859,-73.96709508,856 Fulton Street (To Queens Only),A-C
40.74914333,-73.937979,42-01 28 Street,E-M-R
40.67805433,-73.910634,2154 Fulton Street,A-C
40.71269933,-74.004099,1 Centre Street,4-5-6-6Express-J-Z
40.72371533,-73.950592,626 Manhattan Avenue,G
40.68876323,-73.96014953,344 Classon Avenue,G
40.75406933,-73.942132,40-33 21 Street,F
40.76870133,-73.981717,1824 Broadway,1-2-A-C-B-D
40.69397933,-73.94908,602 Marcy Avenue,G
40.76264133,-73.967637,131 East 60 Street,4-5-6-6Express-N-Q-R
40.63303462,-73.94750633,2137 Nostrand Avenue,2-5
40.68067533,-73.974763,70 6 Avenue (To Manhattan Only),2-3-4
40.63325133,-73.947928,Nostrand Ave & Flatbush Ave At Nw Corner,2-5
40.63285833,-73.947506,Nostrand Ave & Flatbush Ave At Ne Corner,2-5
40.65066333,-73.949416,Nostrand Ave & Church Ave At Se Corner (To Manhattan Only),2-5
40.66812833,-73.950474,Nostrand Ave & President St At Ne Corner,2-5
40.66980433,-73.950389,Nostrand Ave & Eastern Pkwy At Se Corner,3-4
40.69543933,-73.949423,Marcy Ave & Myrtle Ave At Nw Corner,G
40.66902733,-73.933789,Schenectady Ave & Eastern Pkwy At Ne Corner,3-4
40.66868047,-73.93102884,Utica Ave & Eastern Pkwy At Se Corner,3-4
40.69685193,-73.93545258,Broadway & Myrtle Ave At Nw Corner,J-Z
40.71771933,-73.957687,Bedford Ave & N 7th St At Se Corner,L
40.69996633,-73.949913,Union Ave & Flushing Ave At Ne Corner (To Queens Only),G
40.70662733,-73.952344,Hewes St & Broadway At Ne Corner,J-M
40.71376833,-73.951445,Union Ave & Metropolitan Ave At Se Corner,G-L
40.70331333,-73.946688,Lorimer St & Broadway At Sw Corner,J-M
40.70059523,-73.94223515,Flushing Ave & Broadway At Se Corner,J-M
40.72547833,-73.951906,Manhattan Ave & Norman Ave At Nw Corner,G
40.72381033,-73.950928,Manhattan Ave & Nassau Ave At Nw Corner,G
40.71444933,-73.944248,Graham Ave & Metropolitan Ave At Se Corner (To Canarsie Only),L
40.71203533,-73.940892,Grand St & Bushwick Ave At Ne Corner (To Canarsie Only),L
40.70623433,-73.931989,Morgan Ave & Harrison Pl At Sw Corner,L
40.73227033,-73.954415,Manhattan Ave & India St At Se Corner,G
40.66493233,-73.922663,Rutland Rd & E. 98th St At Ne Corner,3-4
40.66167533,-73.915345,Saratoga Ave & Livonia Ave At Ne Corner,3-4
40.64554533,-73.902498,Glenwood Rd & Rockaway Pkwy At Nw Corner,L
40.6787143,-73.92151693,Ralph Ave & Fulton St At Se Corner,A-C
40.67859262,-73.91376868,Hopkinson Ave & Fulton St At Nw Corner,A-C
40.68906833,-73.921565,Palmetto St & Broadway At Sw Corner,J-Z
40.68693333,-73.917295,Jefferson Ave & Broadway At Ne Corner,J
40.69014133,-73.922948,Linden St & Broadway At Nw Corner,J-Z
40.67569803,-73.90280547,Snediker Ave & New York Ave At Sw Corner,L
40.67676933,-73.899586,Alabama Av & Fulton St At Se Corner,J
40.67423933,-73.896669,Pennsylvania Ave & Liberty Ave At Sw Corner,A-C
40.6887876,-73.90467904,Lirr Bay Ridge Divide & Wilson Ave At Nw Corner,L
40.67250633,-73.890153,Van Siclen Ave & Pitkin Ave At Se Corner,A-C
40.66628133,-73.88329,Ashford St & Livonia Av At Sw Corner,3-4
40.67400133,-73.880665,Shepherd Ave & Pitkin Ave At Se Corner,A-C
40.67526833,-73.872087,Euclid Ave & Pitkin Ave At Sw Corner,A-C-S
40.67548833,-73.872086,Euclid Ave & Pitkin Ave At Nw Corner,A-C-S
40.70601433,-73.922119,Starr St & Wyckoff Ave At Se Corner,L
40.70415333,-73.919273,Dekalb Ave & Wycoff Ave At Se Corner,L
40.70334233,-73.917959,Stanhope St & Wycoff Ave At Sw Corner,L
40.70346133,-73.917606,Stanhope St & Wycoff Ave At Ne Corner,L
40.70724233,-73.923723,Jefferson St & Wyckoff Ave At Nw Corner,L
40.70621633,-73.921931,Starr St & Wyckoff Ave At Ne Corner,L
40.70481633,-73.902208,Forest Ave & Myrtle Ave At Nw Corner,M
40.70611538,-73.8955591,62nd St & 67th Ave At Se Corner,M
40.74294533,-73.882701,Britton Ave & Broadway At Nw Corner,E-M-R
40.7548279,-73.84580039,126th St & Roosevelt Ave At Nw Corner,7-7Express
40.75423698,-73.84601379,126th St & Roosevelt Ave At Sw Corner,7-7Express
40.72932524,-73.85955373,64th Rd & Queens Blvd At Nw Corner,E-M-R
40.69147144,-73.86659544,75th St & Jamaica At Nw Corner,J-Z
40.69526863,-73.84329543,104th St & Jamaica Ave At Ne Corner,J-Z
40.70120445,-73.81641338,Van Wyck Expwy & 89th Ave At Sw Corner,E
40.7006296,-73.94199502,Flushing Ave & Broadway At Se Corner,J-M
40.69571257,-73.90526431,Halsey St & Wycoff Ave At Sw Corner (To Canarsie Only),L
40.6794871,-73.92972549,Utica Ave & Fulton St At Nw Corner,A-C
40.68835813,-73.96567001,Washington Ave & Lafayette Ave At Ne Corner,G
40.68783351,-73.96788613,Clinton Ave & Lafayette Ave At Sw Corner,G
40.68933096,-73.95496904,Bedford Ave & Lafayette Ave At Se Corner,G
40.68955303,-73.95528961,Bedford Ave & Lafayette Ave At Nw Corner,G
40.6686647,-73.93072282,Utica Ave & Eastern Pkwy At Se Corner,3-4
40.65145808,-73.96283996,St. Pauls Pl & Caton Ave At Se Corner,B-Q
40.57549885,-73.9769987,8th St & Surf Ave At Nw Corner,F-Q
40.66985071,-73.98947403,4th Ave & 10th St At Nw Corner,D-F-G-N-R
40.62452814,-73.97615661,Mcdonald Ave & Avenue J At Nw Corner,F
40.51321563,-74.25096684,Main St & Utah St At Nw Corner,SIExpress
40.51538868,-74.24543269,Tracy Av & Arthur Kill Rd At Nw Corner,SIExpress
40.74854733,-73.876576,90th St & Roosevelt Ave At Nw Corner,7
40.73333033,-73.870973,Woodhaven Blvd & Queens Blvd At Sw Corner,E-M-R
40.73321333,-73.868733,Horace Harding Expwy & Queens Blvd At Ne Corner,E-M-R
40.74977733,-73.862303,103rd St & Roosevelt Ave At Se Corner,7
40.72659533,-73.853492,67th Ave & Queens Blvd At Se Corner,E-M-R
40.72149633,-73.843382,71st & Queens Blvd At Ne Corner,E-F-M-R
40.71397033,-73.831328,Union Tpke & Queens Blvd At Se Corner,E-F
40.71902353,-73.8379844,75th & Queens Blvd At Nw Corner (To Manhattan And Brooklyn Only),E-F
40.71492833,-73.831485,Union Tpke & Queens Blvd At Nw Corner,E-F
40.75939033,-73.82991,Main St & Roosevelt Ave At Se Corner,7-7Express
